län,winner,percent_winner,n_votes
Blekinge,Socialdemokraterna,0.3181452511800568,103173
Dalarnas,Socialdemokraterna,0.31194691460010476,185211
Gävleborgs,Socialdemokraterna,0.34536397797780305,183088
Gotlands,Socialdemokraterna,0.30364753692139956,40356
Hallands,Socialdemokraterna,0.26171922448026164,214050
Jämtlands,Socialdemokraterna,0.34094643835290195,83978
Jönköpings,Socialdemokraterna,0.28117491987779986,226841
Kalmar,Socialdemokraterna,0.3158292263826734,158877
Kronobergs,Socialdemokraterna,0.29924735028285326,123032
Norrbottens,Socialdemokraterna,0.42288687397310293,164330
Örebro,Socialdemokraterna,0.33627582045453364,192241
Östergötlands,Socialdemokraterna,0.29536235506304104,296077
Skåne,Socialdemokraterna,0.25646625479021024,826947
Södermanlands,Socialdemokraterna,0.3182596590469667,181022
Stockholms,Moderaterna,0.2465299416867628,1402426
Uppsala,Socialdemokraterna,0.2752736135575465,236739
Värmlands,Socialdemokraterna,0.34360435007768,181514
Västerbottens,Socialdemokraterna,0.3874389273946143,176020
Västernorrlands,Socialdemokraterna,0.40368833334370313,160723
Västmanlands,Socialdemokraterna,0.318596898951841,170394
Västra Götalands,Socialdemokraterna,0.2704341417347548,1070549
