country.x,Year,Population,country.y,Unemployment,price
Sweden,1996,8860000,Sweden,9.55,4997
Sweden,1997,8870000,Sweden,10.4,5896
Sweden,1998,8870000,Sweden,8.94,6633
Sweden,1999,8870000,Sweden,7.61,7777
Sweden,2000,8880000,Sweden,5.47,8314
Sweden,2001,8900000,Sweden,4.73,9436
Sweden,2002,8920000,Sweden,4.97,9818
Sweden,2003,8950000,Sweden,5.55,10938
Sweden,2004,8990000,Sweden,6.69,12421
Sweden,2005,9040000,Sweden,7.49,15293
Sweden,2006,9100000,Sweden,7.07,18653
Sweden,2007,9160000,Sweden,6.16,20632
Sweden,2008,9240000,Sweden,6.23,19536
Sweden,2009,9310000,Sweden,8.35,20709
Sweden,2010,9390000,Sweden,8.61,22795
Sweden,2011,9470000,Sweden,7.8,23142
Sweden,2012,9540000,Sweden,7.98,24351
Sweden,2013,9620000,Sweden,8.05,27119
Sweden,2014,9690000,Sweden,7.95,29998
Sweden,2015,9760000,Sweden,7.43,34637
Sweden,2016,9840000,Sweden,6.99,37766
Sweden,2017,9900000,Sweden,6.72,39060
Sweden,2018,9970000,Sweden,6.36,38895
Sweden,2019,10000000,Sweden,6.83,38221
