Country,2019_forest
Aruba,2.33
Afghanistan,1.85
Angola,53.9
Anguilla,61.1
Albania,28.8
Andorra,34
United Arab Emirates,4.47
Argentina,10.5
Armenia,11.5
American Samoa,85.8
Antigua and Barbuda,18.6
Australia,17.4
Austria,47.2
Azerbaijan,13.6
Burundi,10.9
Belgium,22.8
Benin,28.3
Burkina Faso,22.9
Bangladesh,14.5
Bulgaria,35.7
Bahrain,0.87
Bahamas,50.9
Bosnia and Herzegovina,42.7
Belarus,43.1
Belize,56.5
Bermuda,18.5
Bolivia,47.1
Brazil,59.6
Barbados,14.7
Brunei,72.1
Bhutan,71.4
Botswana,27.1
Central African Rep.,35.9
Canada,38.7
Switzerland,32
Chile,24.3
China,23.1
Cote d'Ivoire,9.28
Cameroon,43.1
Dem. Rep. Congo,56.1
Congo,64.3
Cook Is,65
Colombia,53.5
Comoros,17.9
Cape Verde,11.3
Costa Rica,59.1
Cuba,31.2
Cayman Islands,53
Cyprus,18.7
Czech Republic,34.6
Germany,32.7
Djibouti,0.25
Dominica,63.8
Denmark,15.7
Dominican Republic,44.2
Algeria,0.81
Ecuador,50.6
Egypt,0.05
Eritrea,8.73
Western Sahara,2.5
Spain,37.2
Estonia,56.1
Ethiopia,15.2
Finland,73.7
Fiji,62
Falkland Is (Malvinas),0
France,31.4
Faeroe Islands,0.06
"Micronesia, Fed. Sts.",92
Gabon,91.4
Isle of Man,6.07
United Kingdom,13.2
Georgia,40.6
Ghana,35.1
Gibraltar,0
Guinea,25.4
Guadeloupe,44.4
Gambia,24.6
Guinea-Bissau,70.7
Equatorial Guinea,87.6
Greece,30.3
Grenada,52.1
Greenland,0
Guatemala,33
French Guiana,96.7
Guam,51.9
Guyana,93.6
Honduras,57
Croatia,34.6
Haiti,12.7
Hungary,22.5
Indonesia,49.4
India,24.2
Ireland,11.3
Iran,6.6
Iraq,1.9
Iceland,0.5
Israel,6.47
Italy,32.2
Jamaica,54.8
Jordan,1.1
Japan,68.4
Kazakhstan,1.27
Kenya,6.34
Kyrgyz Republic,6.76
Cambodia,46.6
Kiribati,1.46
St. Kitts and Nevis,42.3
South Korea,64.5
Kuwait,0.35
Lao,72
Lebanon,13.9
Liberia,79.4
Libya,0.12
St. Lucia,34
Liechtenstein,41.9
Sri Lanka,34.2
Lesotho,1.14
Lithuania,35.1
Luxembourg,34.5
Latvia,54.8
Morocco,12.8
Moldova,11.8
Madagascar,21.4
Maldives,2.73
Mexico,33.9
Marshall Islands,52.2
North Macedonia,39.7
Mali,10.9
Malta,1.44
Myanmar,44.2
Montenegro,61.5
Mongolia,9.1
Northern Mariana Islands,53
Mozambique,47
Mauritania,0.31
Montserrat,25
Martinique,49.1
Mauritius,19.1
Malawi,24.2
Malaysia,58.3
Mayotte,37.3
Namibia,8.15
New Caledonia,45.9
Niger,0.86
Norfolk Island,12.3
Nigeria,23.9
Nicaragua,29.1
Niue,72.5
Netherlands,10.9
Norway,33.3
Nepal,41.6
Nauru,0
New Zealand,37.5
Oman,0.01
Pakistan,4.89
Panama,57
Pitcairn,74.5
Peru,56.6
Philippines,24
Palau,89.8
Papua New Guinea,79.3
Poland,30.9
Puerto Rico,55.9
North Korea,50.3
Portugal,36.1
Paraguay,41.2
Palestine,1.68
French Polynesia,43.1
Qatar,0
Reunion,39
Romania,30.1
Russia,49.8
Rwanda,11.2
Saudi Arabia,0.45
Sudan,10
Senegal,42.1
Singapore,22
St. Helena,5.13
Solomon Islands,90.2
Sierra Leone,35.4
El Salvador,28.4
San Marino,16.7
Somalia,9.65
St.-Pierre-et-Miquelon,5.39
Serbia,31.1
South Sudan,11.3
Sao Tome and Principe,54.7
Suriname,97.5
Slovak Republic,40.1
Slovenia,61.6
Sweden,68.7
Eswatini,28.9
Seychelles,73.3
Syria,2.84
Turks and Caicos Islands,11.1
Chad,3.51
Togo,22.3
Thailand,39
Tajikistan,3.05
Tokelau,0
Turkmenistan,8.78
Timor-Leste,62
Tonga,12.4
Trinidad and Tobago,44.6
Tunisia,4.51
Turkey,28.7
Tuvalu,33.3
Tanzania,52.2
Uganda,11.9
Ukraine,16.7
Uruguay,11.5
United States of America,33.9
Uzbekistan,8.32
St. Vincent and the Grenadines,73.2
Venezuela,52.5
British Virgin Islands,24.1
Virgin Islands (U.S.),56.5
Vietnam,46.5
Vanuatu,36.3
Wallis et Futuna,41.6
Samoa,57.3
Yemen,1.04
South Africa,14.1
Zambia,60.5
Zimbabwe,45.2
