R,G,B
0.27734375,0.27734375,0.85546875
0.26953125,0.26953125,0.8437500000000001
0.26171875,0.26171875,0.8281250000000001
0.25390625,0.25390625,0.81640625
0.24609375,0.24609375,0.8007812500000001
0.23828125,0.23828125,0.7890624999999998
0.23046875,0.23046875,0.7734374999999999
0.22265625,0.22265625,0.76171875
0.21484375,0.21484375,0.74609375
0.20703125,0.20703125,0.734375
0.203125,0.203125,0.71875
0.1953125,0.1953125,0.70703125
0.1875,0.1875,0.6914062499999999
0.1796875,0.1796875,0.6796874999999999
0.171875,0.171875,0.6640624999999998
0.1640625,0.1640625,0.65234375
0.15625,0.15625,0.63671875
0.1484375,0.1484375,0.625
0.140625,0.140625,0.609375
0.1328125,0.1328125,0.59765625
0.125,0.125,0.58203125
0.1171875,0.1171875,0.5703124999999999
0.109375,0.109375,0.5546875
0.1015625,0.1015625,0.54296875
0.09375,0.09375,0.52734375
0.0859375,0.0859375,0.5156250000000001
0.078125,0.078125,0.5
0.0703125,0.0703125,0.48828125
0.0625,0.0625,0.47265625
0.05859375,0.05859375,0.4609375
0.05078125,0.05078125,0.44921875
0.04296875,0.04296875,0.43359375
0.03515625,0.03515625,0.42187500000000006
0.02734375,0.02734375,0.40625
0.01953125,0.01953125,0.39453124999999994
0.01171875,0.01171875,0.37890625
0.00390625,0.00390625,0.3671875
0,0.015625,0.3671875
0,0.04296875,0.38671875
0,0.0703125,0.40234375
0,0.09765625,0.42187500000000006
0,0.125,0.43750000000000006
0,0.15234375,0.45703124999999994
0,0.1796875,0.47265625
0,0.20703125,0.4921875
0,0.234375,0.5078124999999999
0,0.26171875,0.52734375
0,0.2890625,0.54296875
0,0.31640625,0.5625
0,0.34375,0.5781250000000001
0,0.37109375,0.59765625
0,0.3984375,0.61328125
0,0.42578125,0.6328124999999999
0,0.453125,0.6484374999999999
0,0.48046875,0.6679687499999999
0,0.51171875,0.6835937499999999
0,0.5390625,0.703125
0,0.56640625,0.71875
0,0.59375,0.73828125
0,0.62109375,0.75390625
0,0.6484375,0.7734374999999999
0,0.67578125,0.7890624999999998
0,0.703125,0.80859375
0,0.73046875,0.82421875
0,0.7578125,0.8437500000000001
0,0.78515625,0.8593750000000001
0,0.8125,0.8789062500000001
0,0.83984375,0.89453125
0,0.8671875,0.9140624999999999
0,0.89453125,0.9296875
0,0.921875,0.94921875
0,0.94921875,0.96484375
0,0.9765625,0.984375
0,0.9921875,0.98828125
0,0.9765625,0.9609374999999999
0,0.96484375,0.93359375
0,0.953125,0.90625
0,0.9375,0.8789062500000001
0,0.92578125,0.8515624999999999
0,0.91015625,0.82421875
0,0.8984375,0.796875
0,0.8828125,0.76953125
0,0.87109375,0.7421874999999999
0,0.85546875,0.71484375
0,0.84375,0.6874999999999999
0,0.828125,0.6601562499999999
0,0.81640625,0.6328124999999999
0,0.80078125,0.609375
0,0.7890625,0.58203125
0,0.77734375,0.5546875
0,0.76171875,0.52734375
0,0.75,0.5
0,0.734375,0.47265625
0,0.72265625,0.44531250000000006
0,0.70703125,0.41796875000000006
0,0.6953125,0.390625
0,0.6796875,0.36328124999999994
0,0.66796875,0.33593749999999994
0,0.65234375,0.30859374999999994
0,0.640625,0.28125
0,0.625,0.25390625
0,0.61328125,0.2265625
0,0.6015625,0.19921875000000003
0,0.5859375,0.171875
0,0.57421875,0.14453125000000003
0,0.55859375,0.12109375000000003
0,0.546875,0.09375
0,0.53125,0.06640625000000001
0,0.51953125,0.0390625
0,0.50390625,0.011718749999999997
0.015625,0.5078125,0
0.04296875,0.5234375,0
0.0703125,0.53515625,0
0.09765625,0.55078125,0
0.125,0.5625,0
0.15234375,0.578125,0
0.18359375,0.58984375,0
0.2109375,0.60546875,0
0.23828125,0.6171875,0
0.265625,0.6328125,0
0.29296875,0.64453125,0
0.3203125,0.66015625,0
0.34765625,0.671875,0
0.375,0.6875,0
0.40234375,0.69921875,0
0.4296875,0.71484375,0
0.45703125,0.7265625,0
0.484375,0.7421875,0
0.51171875,0.75390625,0
0.5390625,0.76953125,0
0.56640625,0.78125,0
0.59375,0.796875,0
0.62109375,0.80859375,0
0.6484375,0.82421875,0
0.67578125,0.8359375,0
0.703125,0.8515625,0
0.73046875,0.86328125,0
0.7578125,0.87890625,0
0.78515625,0.890625,0
0.8125,0.90625,0
0.84375,0.91796875,0
0.87109375,0.93359375,0
0.8984375,0.9453125,0
0.92578125,0.9609375,0
0.953125,0.97265625,0
0.98046875,0.98828125,0
0.99609375,0.98828125,0
0.99609375,0.97265625,0
0.99609375,0.95703125,0
0.99609375,0.9375,0
0.99609375,0.921875,0
0.99609375,0.90625,0
0.99609375,0.88671875,0
0.99609375,0.87109375,0
0.99609375,0.85546875,0
0.99609375,0.8359375,0
0.99609375,0.8203125,0
0.99609375,0.8046875,0
0.99609375,0.78515625,0
0.99609375,0.76953125,0
0.99609375,0.75390625,0
0.99609375,0.734375,0
0.99609375,0.71875,0
0.99609375,0.703125,0
0.99609375,0.68359375,0
0.99609375,0.66796875,0
0.99609375,0.65234375,0
0.99609375,0.6328125,0
0.99609375,0.6171875,0
0.99609375,0.6015625,0
0.99609375,0.58203125,0
0.99609375,0.56640625,0
0.99609375,0.55078125,0
0.99609375,0.53125,0
0.99609375,0.515625,0
0.99609375,0.5,0
0.99609375,0.48046875,0
0.99609375,0.46484375,0
0.99609375,0.44921875,0
0.99609375,0.4296875,0
0.99609375,0.4140625,0
0.99609375,0.3984375,0
0.99609375,0.37890625,0
0.98046875,0.37109375,0
0.96484375,0.359375,0
0.94921875,0.34765625,0
0.93359375,0.33984375,0
0.91796875,0.328125,0
0.90234375,0.31640625,0
0.88671875,0.30859375,0
0.87109375,0.296875,0
0.85546875,0.28515625,0
0.83984375,0.27734375,0
0.82421875,0.265625,0
0.80859375,0.25390625,0
0.79296875,0.24609375,0
0.7734375,0.234375,0
0.7578125,0.22265625,0
0.7421875,0.21484375,0
0.7265625,0.203125,0
0.7109375,0.19140625,0
0.6953125,0.18359375,0
0.6796875,0.171875,0
0.6640625,0.16015625,0
0.6484375,0.15234375,0
0.6328125,0.140625,0
0.6171875,0.12890625,0
0.6015625,0.12109375,0
0.5859375,0.109375,0
0.5703125,0.09765625,0
0.5546875,0.08984375,0
0.5390625,0.078125,0
0.5234375,0.06640625,0
0.50390625,0.05859375,0
0.48828125,0.046875,0
0.47265625,0.03515625,0
0.45703125,0.02734375,0
0.44140625,0.015625,0
0.42578125,0.00390625,0
0.421875,0.00390625,0.00390625
0.4375,0.01171875,0.011718749999999997
0.44921875,0.01953125,0.01953125
0.4609375,0.02734375,0.02734375
0.47265625,0.03515625,0.03515625
0.48828125,0.046875,0.046875
0.5,0.0546875,0.05468750000000001
0.51171875,0.0625,0.0625
0.5234375,0.0703125,0.0703125
0.53515625,0.078125,0.07812500000000003
0.55078125,0.0859375,0.0859375
0.5625,0.09375,0.09375
0.57421875,0.1015625,0.10156250000000001
0.5859375,0.109375,0.109375
0.59765625,0.12109375,0.12109375000000003
0.61328125,0.12890625,0.12890625000000003
0.625,0.13671875,0.13671875000000003
0.63671875,0.14453125,0.14453125000000003
0.6484375,0.15234375,0.15234375000000003
0.66015625,0.16015625,0.16015625
0.67578125,0.16796875,0.16796875000000003
0.6875,0.17578125,0.17578125000000003
0.69921875,0.18359375,0.18359375
0.7109375,0.1953125,0.1953125
0.72265625,0.203125,0.203125
0.73828125,0.2109375,0.21093750000000003
0.75,0.21875,0.21875000000000003
0.76171875,0.2265625,0.2265625
0.7734375,0.234375,0.234375
0.7890625,0.2421875,0.2421875
0.80078125,0.25,0.25
0.8125,0.2578125,0.25781250000000006
0.82421875,0.26953125,0.26953124999999994
0.8359375,0.27734375,0.27734375
0.8515625,0.28515625,0.28515625
0.86328125,0.29296875,0.29296875000000006
0.875,0.30078125,0.30078124999999994
