country,Year,Population
Sweden,1900,5120000
Sweden,1901,5150000
Sweden,1902,5190000
Sweden,1903,5220000
Sweden,1904,5250000
Sweden,1905,5290000
Sweden,1906,5320000
Sweden,1907,5350000
Sweden,1908,5390000
Sweden,1909,5420000
Sweden,1910,5460000
Sweden,1911,5500000
Sweden,1912,5540000
Sweden,1913,5580000
Sweden,1914,5620000
Sweden,1915,5670000
Sweden,1916,5710000
Sweden,1917,5750000
Sweden,1918,5800000
Sweden,1919,5840000
Sweden,1920,5870000
Sweden,1921,5910000
Sweden,1922,5930000
Sweden,1923,5960000
Sweden,1924,5990000
Sweden,1925,6010000
Sweden,1926,6040000
Sweden,1927,6060000
Sweden,1928,6090000
Sweden,1929,6110000
Sweden,1930,6140000
Sweden,1931,6160000
Sweden,1932,6180000
Sweden,1933,6210000
Sweden,1934,6230000
Sweden,1935,6250000
Sweden,1936,6270000
Sweden,1937,6300000
Sweden,1938,6320000
Sweden,1939,6350000
Sweden,1940,6390000
Sweden,1941,6440000
Sweden,1942,6490000
Sweden,1943,6560000
Sweden,1944,6620000
Sweden,1945,6690000
Sweden,1946,6750000
Sweden,1947,6820000
Sweden,1948,6890000
Sweden,1949,6950000
Sweden,1950,7010000
Sweden,1951,7070000
Sweden,1952,7130000
Sweden,1953,7180000
Sweden,1954,7220000
Sweden,1955,7260000
Sweden,1956,7300000
Sweden,1957,7350000
Sweden,1958,7390000
Sweden,1959,7440000
Sweden,1960,7480000
Sweden,1961,7530000
Sweden,1962,7580000
Sweden,1963,7630000
Sweden,1964,7690000
Sweden,1965,7750000
Sweden,1966,7810000
Sweden,1967,7880000
Sweden,1968,7940000
Sweden,1969,8000000
Sweden,1970,8050000.000000001
Sweden,1971,8100000
Sweden,1972,8130000.000000001
Sweden,1973,8150000
Sweden,1974,8170000
Sweden,1975,8199999.999999999
Sweden,1976,8220000.000000001
Sweden,1977,8250000
Sweden,1978,8279999.999999999
Sweden,1979,8300000.000000001
Sweden,1980,8320000
Sweden,1981,8330000
Sweden,1982,8330000
Sweden,1983,8330000
Sweden,1984,8340000
Sweden,1985,8359999.999999999
Sweden,1986,8380000.000000001
Sweden,1987,8420000
Sweden,1988,8460000
Sweden,1989,8510000
Sweden,1990,8570000
Sweden,1991,8630000
Sweden,1992,8690000
Sweden,1993,8750000
Sweden,1994,8800000
Sweden,1995,8840000
Sweden,1996,8860000
Sweden,1997,8870000
Sweden,1998,8870000
Sweden,1999,8870000
Sweden,2000,8880000
Sweden,2001,8900000
Sweden,2002,8920000
Sweden,2003,8950000
Sweden,2004,8990000
Sweden,2005,9040000
Sweden,2006,9100000
Sweden,2007,9160000
Sweden,2008,9240000
Sweden,2009,9310000
Sweden,2010,9390000
Sweden,2011,9470000
Sweden,2012,9540000
Sweden,2013,9620000
Sweden,2014,9690000
Sweden,2015,9760000
Sweden,2016,9840000
Sweden,2017,9900000
Sweden,2018,9970000
Sweden,2019,10000000
